Country,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020
Afghanistan,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
Albania,#N/A,0.44,0.44,0.64,0.75,0.55,0.55,0.55,0.54,0.44,0.47,0.3,0.19,0.1,0.11,0.11,0.099,0.096,0.09265753,0.064,0.05575342,0.05660099,0.05994039,0.06322339,0.06722138,0.06698838,0.06985,0.07814466,0.06501178,0.06036,0.05390767,0.10870836,0.15573068,0.16847066,0.17016219,0.20586849,0.20230644,0.22817634,0.16069,0.15655301,#N/A,#N/A
Algeria,#N/A,11.43,10.52,10.46,10.18,11.15,11.42,11.9,12,11.74,12.34,13.15,13.09,13.41,13.12,12.956,13.06794521,13.76044809,14.17239726,14.02410959,13.8860137,14.33025287,15.13892645,16.17653051,17.84043024,18.44525034,19.56778068,19.67493493,19.6754526,19.54459,19.09814712,18.81051,18.6269,18.75227169,17.63081822,17.22342,17.98425,16.98785656,16.41742808,15.77082534,#N/A,#N/A
Angola,#N/A,1.5,1.3,1.22,1.77,2.08,2.31,2.81,3.59,4.51,4.54,4.74,4.99,5.26,5.08,5.3579726,6.45432877,7.08184153,7.13208219,7.34582192,7.44517808,7.46113113,7.41904121,8.96143007,9.02304722,10.54415032,12.49228808,14.19916863,17.4750483,19.60206508,18.86295219,19.17992548,17.65027438,17.9647018,18.14026534,17.55755438,18.27922014,17.96742754,17.06434849,16.55169096,#N/A,#N/A
Antarctica,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
Argentina,#N/A,5.08,5.13,5.07,5.04,4.98,4.85,4.71,4.72,4.92,4.96,5.21,5.29,5.97,6.47,7.13109589,7.73575343,8.20983607,9.04671233,9.16684932,8.70232877,8.31745362,8.76072879,8.65589395,8.65759034,8.25082166,7.97085753,8.0228491,7.8122517,8.01042227,8.01657466,7.8887369,7.63104482,7.22697036,7.06126962,7.16351406,7.08683247,7.08770148,6.76228041,6.78559548,#N/A,#N/A
Armenia,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,2.47187E-06,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
Australia,#N/A,4.6,4.74,4.44,4.89,5.71,6.65,6.06,6.39,6.33,5.83,6.66,6.35,6.19,5.9,6.24309589,6.46794521,6.66748634,6.94561644,6.48706849,6.46950685,8.28058254,7.68257129,7.4424488,6.29812981,5.57344189,5.80793932,5.61772562,5.67355918,5.70912612,5.80746534,5.90225206,5.14658932,5.07088814,4.32764836,4.48156343,4.02346822,3.73728372,3.4176189,3.7077689,#N/A,#N/A
Austria,#N/A,0.3,0.28,0.29,0.28,0.27,0.25,0.25,0.24,0.27,0.27,0.27,0.3,0.27,0.26,0.26,0.2770411,0.26697268,0.24,0.2570411,0.232,0.24746918,0.25285333,0.26893875,0.25908538,0.26461888,0.24920438,0.26617425,0.27682808,0.27925902,0.28192,0.36275918,0.36972534,0.37009536,0.27979904,0.31903863,0.3301389,0.29415202,0.29245534,0.28223616,#N/A,#N/A
Azerbaijan,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,2.22,2.06,1.91109589,1.80557534,1.80380874,1.79975343,2.36773973,2.83578082,2.8858721,3.08862338,3.15418446,3.25174763,3.17634032,4.40005603,6.46580548,8.49069047,8.78192724,10.15945263,10.4484437,9.93260521,9.31756003,8.8082497,8.56875899,8.581772,8.43546251,8.00681973,8.08481973,#N/A,#N/A
Bangladesh,#N/A,#N/A,#N/A,#N/A,0.002,0.004,0.007,0.007,0.006,0.008,0.007,0.01,0.009,0.01,0.012,0.016,0.013,0.015,0.022,0.022,0.02,0.03211034,0.04101493,0.06824692,0.06912831,0.06745815,0.0676,0.06733,0.06724,0.06408667,0.05684,0.05072,0.05063,0.04848667,0.04156,0.04127,0.04105,0.04105,0.03770753,0.03105,#N/A,#N/A
Belarus,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,0.42,0.35,0.36350685,0.34180822,0.32861202,0.33542466,0.33916438,0.33889041,0.34687914,0.35371999,0.33469221,0.34331286,0.35031042,0.35155,0.35602,0.36011,0.35296,0.32063,0.32113,0.30739,0.30124,0.31307,0.33193,0.26001932,0.32583667,0.31917,0.32917,#N/A,#N/A
Belgium,#N/A,0.08,0.08,0.09,0.1,0.11,0.11,0.061,0.056,0.082,0.11,0.11,0.091,0.1,0.098,0.13,0.12,0.11,0.11,0.11,0.12,0.10218117,0.123046,0.13060852,0.11060348,0.1068759,0.08691,0.11914,0.11224,0.11218,0.12603,0.2304,0.21982,0.22474,0.23892,0.28595,0.25458,0.24423,0.28785,0.28785,#N/A,#N/A
Belize,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,0.0225731,0.02999797,0.03510664,0.03989501,0.04251682,0.04,0.03239344,0.03,0.01817762,0.02,0.02,0.02,0.02,#N/A,#N/A
Benin,#N/A,#N/A,#N/A,#N/A,0.04,0.07,0.08,0.08,0.07,0.05,0.04,0.04,0.04,0.056,0.058,0.059,0.03,0.02,0.013,0.01,0.01,0.0069,0.007,0.008,0.004,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
Bhutan,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
Bolivia,#N/A,0.32,0.26,0.3,0.28,0.27,0.26,0.23,0.24,0.24,0.25,0.26,0.26,0.28,0.3,0.318,0.35591781,0.37863934,0.38138356,0.447,0.415,0.40435149,0.44853253,0.47220134,0.42920153,0.61338127,0.62664463,0.61316663,0.61825282,0.51557117,0.45959701,0.47872942,0.49254312,0.57594366,0.65201178,0.6900166,0.74069474,0.77634869,0.77465904,0.77633027,#N/A,#N/A
Bosnia and Herzegovina,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,-0.00073,-0.00059,-0.00097,-0.00094,-0.00015,0.0007,0.00131,0.00258,0.00219,0.00248,0.00248,0.00248,0.00248,#N/A,#N/A
Botswana,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
Brazil,#N/A,2.45,2.83,3.48,4.6,6.14,7.34,7.4,7.68,7.51,7.9,8.21,8.38,8.24,8.39,9.57424658,9.90424658,11.07002732,11.7219726,12.82627397,14.27772603,15.34106897,15.73485514,17.57892245,18.46898841,18.39483428,20.37522014,21.69463605,22.83504808,24.3146891,25.61713447,27.23742008,26.99133756,26.6912232,27.13472299,29.70678033,31.86486364,32.42957836,33.6645211,34.27783616,#N/A,#N/A
Brunei,#N/A,2.7,1.88,1.79,1.87,1.75,1.68,1.81,1.5,1.48,1.42,1.6,1.71,1.78,1.78,1.80635616,1.75843836,1.66696175,1.75341096,1.79587671,2.04223288,2.15367756,2.17583661,1.89406596,1.96367752,2.04431148,2.09959452,2.21244781,1.6996663,1.57764339,1.48857219,1.53327932,1.69377041,1.58731038,1.35489849,1.26807411,1.27003877,1.21034388,1.13313466,1.11623055,#N/A,#N/A
Bulgaria,#N/A,0.03,0.03,0.03,0.03,0.04,0.06,-0.002,0.000978927,-0.015,0.047,0.035,0.000339432,0.004,0.006,0.003,0.01,0.016,0.009,0.022,0.026,0.01962068,0.01162427,0.02648132,0.03128063,0.03661262,0.03357,0.03378,0.03125,0.03517,0.03341,0.03359,0.03367,0.03799,0.04095,0.03237192,0.05076,0.05339,0.05339,0.05339,#N/A,#N/A
Burkina Faso,#N/A,0.03,0.03,0.03,0.03,0.04,0.06,-0.002,0.000978927,-0.015,0.047,0.035,0.000339432,0.004,0.006,0.003,0.01,0.016,0.009,0.022,0.026,0.01962068,0.01162427,0.02648132,0.03128063,0.03661262,0.03357,0.03378,0.03125,0.03517,0.03341,0.03359,0.03367,0.03799,0.04095,0.03237192,0.05076,0.05339,0.05339,0.05339,#N/A,#N/A
Burundi,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
Cambodia,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,0.006,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
Cameroon,#N/A,0.58,0.87,1.09,1.14,1.35,1.85,1.77,1.74,1.63,1.7,1.61,1.53,1.4,1.27,1.08345206,1.114,1.08416393,1.245,1.215,1.005,0.85059655,0.76891325,0.69900756,0.67218154,0.66347012,0.82709068,0.8680774,0.83156397,0.81780137,0.7742011,0.6554,0.62227274,0.63452,0.63070164,0.75441,0.98469,0.92469,0.76186808,0.69469,#N/A,#N/A
Canada,#N/A,18.16,16.63,16.39,16.92,18.1,18.48,18.63,19.6,20.57,20.31,20.4,20.41,21.26,22.5,23.41290411,24.52794521,25.01576503,26.27471233,27.00049315,26.32557534,27.53144555,28.16361848,29.53699681,31.1364521,31.39357788,30.96284614,32.92078077,34.48523233,33.48246697,33.18829118,34.41730274,35.96913671,38.55923536,40.73071288,43.9426537,45.11270562,45.9672482,49.64133521,53.8233626,#N/A,#N/A
Central African Republic,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
Chad,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,0.36068493,1.70587432,1.76657534,1.57917808,1.4420274,1.27163934,1.19471233,1.22520548,1.14964384,1.04483607,1,1.21,1.23,1.14,1.28,1.32,#N/A,#N/A
Chile,#N/A,0.46,0.52,0.54,0.5,0.5,0.48,0.44,0.43,0.38,0.36,0.35,0.32,0.29,0.3,0.29110959,0.26778082,0.257,0.18866849,0.1840411,0.18030959,0.1636189,0.17171858,0.17141584,0.16933286,0.15759851,0.14928575,0.12891838,0.10872263,0.12791079,0.13501877,0.18576041,0.19233767,0.18436372,0.17159356,0.15616466,0.14215274,0.12858497,0.13457836,0.16214,#N/A,#N/A
China,#N/A,21.14,20.12,20.45,21.2,22.96,25.05,25.88,26.8,27.22,27.49,27.68,28.36,28.52,29.03,29.57287671,30.60049315,32.11338798,32.84342466,33.02178082,33.16994521,33.88527319,34.44634864,35.49861536,36.02905986,37.22752498,38.71015918,39.80215068,40.79011233,41.66931967,42.1844863,45.75155274,46.60013616,47.73203475,49.11730712,50.45262795,51.80376151,49.00070874,47.82398219,47.7499274,#N/A,#N/A
Colombia,#N/A,1.34,1.33,1.49,1.58,1.74,1.82,3.15,3.96,3.87,4.17,4.54,4.3,4.45,4.67,4.62334247,5.9719863,6.42064481,6.65258904,7.45938356,8.30424658,7.04115998,6.36824154,5.88276088,5.54676296,5.41956441,5.40686564,5.48351553,5.46108496,6.03674011,6.90276556,8.05753488,9.38412069,9.6846765,10.28200507,10.13907047,10.29954041,9.0903682,8.84516343,8.93598534,#N/A,#N/A
Costa Rica,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,-0.002,-0.001,-0.001,-0.002,-0.002,-0.002,-0.002,-0.003,-0.001,-0.003,-0.003,-0.003,#N/A,#N/A,-1.25612E-06,0.000713766,0.00477792,0.00729212,0.01022571,0.01877,0.01856,0.02637,0.02308,0.01226,-0.00109,-0.0004,0.01259,0.01324,0.01331,0.01479,0.01571,0.01571,0.01571,#N/A,#N/A
Croatia,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,0.41,0.43,0.473,0.417,0.379,0.382,0.402,0.334,0.33417467,0.32409404,0.31222409,0.31330155,0.28777856,0.27690534,0.25628685,0.23835614,0.22098667,0.24444822,0.23606562,0.21352055,0.20685333,0.2062526,0.2004963,0.18685178,0.18527967,0.18926,0.18841068,#N/A,#N/A
Cuba,#N/A,0.06,0.09,0.11,0.13,0.16,0.19,0.17,0.17,0.13,0.13,0.12,0.12,0.16,0.19,0.241,0.25767123,0.312,0.329,0.343,0.408,0.43877991,0.5146238,0.48543994,0.56275518,0.592131,0.53455,0.5225,0.51634,0.50699,0.46342,0.56489,0.58401,0.55294503,0.53526,0.53169,0.50335,0.49737333,0.49904,0.49904,#N/A,#N/A
Cyprus,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,0.00019479,-0.000147336,-0.000112737,0.00022657,0.000465942,-0.000344916,-0.001,-0.002,-0.001,-0.002,#N/A,-0.003,-0.003,-0.004,-0.0036403,-0.00356836,-0.00258762,-0.00191359,-0.00072853,0.0002,0.0002,0.0002,0.002,0.002,0.0011,0.0013,0.0013,0.0004,0.0003,0.0002,0.0001,#N/A,#N/A,#N/A,#N/A
Czech Republic,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,0.025,0.028,0.039,0.053,0.046,0.046,0.09560274,0.09362426,0.0924546,0.12475348,0.15345888,0.17166757,0.17544068,0.1608937,0.13743699,0.11626568,0.1039011,0.15764781,0.16278932,0.1675,0.1443,0.17815,0.18051616,0.15586333,0.19765,0.19765,#N/A,#N/A
Democratic Republic of the Congo,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,0.025,0.028,0.039,0.053,0.046,0.046,0.09560274,0.09362426,0.0924546,0.12475348,0.15345888,0.17166757,0.17544068,0.1608937,0.13743699,0.11626568,0.1039011,0.15764781,0.16278932,0.1675,0.1443,0.17815,0.18051616,0.15586333,0.19765,0.19765,#N/A,#N/A
Denmark,#N/A,0.053,0.15,0.34,0.44,0.46,0.58,0.76,0.97,0.99,1.17,1.21,1.44,1.63,1.74,1.85578082,1.87276712,2.10023497,2.33282192,2.40653425,3.02580822,3.65179271,3.48989584,3.73432359,3.78409225,3.92744896,3.8078357,3.45756814,3.15279712,2.90467888,2.64307685,2.4929043,2.25075345,2.05914183,1.80126167,1.69628712,1.60761575,1.45673612,1.42446151,1.2355026,#N/A,#N/A
Djibouti,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
Dominican Republic,#N/A,0.01,0.01,0.01,0.01,0.01,0.01,-0.002,0.000435134,0.000371533,0.000904711,-0.001,-0.002,-0.009,-0.005,-0.004,-0.01,-0.009,-0.01,-0.01,-0.004,-0.0015427,-0.000947265,-0.000670249,0.000119472,-0.00448666,-0.00389,-0.00309,-0.00392,-0.00266,0.00035,-0.00041,-0.00104,-0.00103,-0.00112,-0.00038,-0.00116,-0.00116,-0.00116,-0.00116,#N/A,#N/A
East Timor,#N/A,0.01,0.01,0.01,0.01,0.01,0.01,-0.002,0.000435134,0.000371533,0.000904711,-0.001,-0.002,-0.009,-0.005,-0.004,-0.01,-0.009,-0.01,-0.01,-0.004,-0.0015427,-0.000947265,-0.000670249,0.000119472,-0.00448666,-0.00389,-0.00309,-0.00392,-0.00266,0.00035,-0.00041,-0.00104,-0.00103,-0.00112,-0.00038,-0.00116,-0.00116,-0.00116,-0.00116,#N/A,#N/A
Ecuador,#N/A,2.07,2.14,2.14,2.4,2.61,2.84,2.95,1.75,3.03,2.81,2.86,3.01,3.24,3.49,3.69920548,3.95827397,3.97878142,3.89445206,3.7629863,3.74043836,3.96311371,4.12511308,3.92718592,4.11341769,5.29005817,5.327554,5.36380219,5.114226,5.05268664,4.85707175,4.86097521,4.98980022,5.03396079,5.25454408,5.56012058,5.42546501,5.48378765,5.31281288,5.17078548,#N/A,#N/A
Egypt,#N/A,6.13,6.16,6.91,7.53,8.48,9.15,8.26,9.11,8.73,8.99,9.01,9.07,8.83,8.98,9.0380548,9.295,9.33666667,8.69757534,8.4830548,8.72589041,7.93337338,7.48060484,7.42551691,7.4409538,7.00092071,6.82773548,6.62735904,6.58893973,6.91054771,7.01385932,6.94514425,7.01745644,7.0389782,7.07014384,7.06611452,7.17693425,6.82904142,6.57968466,6.67795863,#N/A,#N/A
El Salvador,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,2.63546E-05,-0.000476892,-0.000552834,0.000150816,-0.000615052,-0.001,-0.00043107,-0.000171011,#N/A,#N/A,-0.001,-0.003,-0.005,-0.006,-0.00591264,-0.00669296,-0.00277765,-0.0010589,-0.00204291,0.00966,0.05308,0.04297,0.04182,0.01772,-0.0052,-0.00377,-0.00317,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
Equatorial Guinea,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,0.001,0.016,0.045,0.05010959,0.05001644,0.17,0.52421918,0.83,1.02,1.675,1.81438356,2.12561644,2.06465877,3.6820765,3.75476712,3.62865753,3.68528767,3.59203153,3.46016069,3.22710384,2.98888033,3.104,2.9079726,2.78,2.68,2.44,2.05778082,1.84232877,#N/A,#N/A
Eritrea,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,-0.003,-0.003,-0.003,-0.003,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
Estonia,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,-0.000825933,-0.000662557,#N/A,#N/A,#N/A,0.073,0.044,0.03,0.04747,0.05133617,0.05530404,0.06137965,0.06592043,0.069,0.0728,0.07400022,0.076,0.09,0.1,0.11,0.11,0.13,0.13,0.16,0.16,0.16,0.22,#N/A,#N/A
Ethiopia,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,-0.003,-0.003,-0.003,-0.003,-0.003,-0.0005196,-0.001,-0.002,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,0.001,0.001,0.001,0.001,0.001,0.00167,0.00211,0.00296,0.00354,0.00354,0.00354,#N/A,#N/A
Falkland Islands,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
Fiji,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
Finland,#N/A,-0.004,0.008,0.02,0.031,0.042,0.042,0.048,0.054,0.054,0.052,0.057,0.066,0.074,0.075,0.089,0.092,0.089,0.084,0.091,0.09,0.08279691,0.07800397,0.09012838,0.09284447,0.0915518,0.09171,0.10111,0.09789,0.08718,0.09541,0.16195,0.14727,0.15878,0.17436,0.18484,0.18484,0.12582,0.18196,0.18196,#N/A,#N/A
France,#N/A,0.83,0.92,0.86,0.89,0.93,1.06,1.07,1.11,1.19,1.16,1.12,1.13,1.14,1.12,1.16153425,1.11254795,1.05163934,0.97565753,0.88893151,0.92752877,0.93209044,0.90133029,0.86213812,0.90236426,0.89104933,0.8424974,0.89198986,0.74632507,0.77166,0.76311685,1.33353932,1.29467137,1.25145366,1.2738874,1.28943986,1.32333233,1.33014033,1.21101123,1.16520301,#N/A,#N/A
French Guiana,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
French Southern and Antarctic Lands,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
Gabon,#N/A,1.76,1.52,1.57,1.58,1.58,1.73,1.66,1.55,1.59,2.08,2.7,2.94,2.97,3.12,3.28447945,3.64506849,3.68060656,3.70228767,3.51667123,3.30827397,3.14791756,2.6980235,2.51048166,2.41159604,2.38771115,2.6602891,2.36882726,2.43896589,2.47748612,2.41927767,2.45277712,2.40772425,2.29617,2.19546,2.19576,2.12936767,2.10427672,1.98457315,1.95443616,#N/A,#N/A
Gambia,#N/A,1.76,1.52,1.57,1.58,1.58,1.73,1.66,1.55,1.59,2.08,2.7,2.94,2.97,3.12,3.28447945,3.64506849,3.68060656,3.70228767,3.51667123,3.30827397,3.14791756,2.6980235,2.51048166,2.41159604,2.38771115,2.6602891,2.36882726,2.43896589,2.47748612,2.41927767,2.45277712,2.40772425,2.29617,2.19546,2.19576,2.12936767,2.10427672,1.98457315,1.95443616,#N/A,#N/A
Georgia,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,0.029,0.02,0.01808493,0.01,0.012,0.02675342,0.02191507,0.022,0.01990027,0.02107825,0.0146248,0.02780702,0.01979103,0.01977,0.00995,0.00984,0.00979,0.00993,0.01,0.01,0.01007,0.01,0.01,0.00793452,0.00394,0.00394,0.00394,#N/A,#N/A
Germany,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,1.48,1.32,1.37,1.38572603,1.38,1.37412568,1.34,1.4,1.41,1.50960421,1.4663111,1.54315886,1.60074993,1.47340538,1.77502027,1.93186425,1.45464027,1.54694967,1.57238507,2.15117,2.22087,2.15367,2.12800384,2.07660671,2.07644014,3.11710432,2.07616699,2.11022178,#N/A,#N/A
