Country,"CO2 (kt, 2012)","Greenhouse (10skt of co2, 2012)",Methane (10skt of 2012)
Afghanistan,10755.311,18168.86,13763.166
Angola,33399.036,41657.16485,18974.448
Albania,4910.113,8898.640911,2644.2174
United Arab Emirates,176386.367,204888.719,26119.548
Argentina,192356.152,380295.3204,88476.432
Armenia,5694.851,12319.38961,3425.678014
Antarctica,#N/A,#N/A,#N/A
French Southern and Antarctic Lands,#N/A,#N/A,#N/A
Australia,388126.281,761686.2739,125588.1936
Austria,62272.994,90460.21029,8006.813544
Azerbaijan,35555.232,56537.08178,19955.36354
Burundi,282.359,6254.371024,2718.861
Belgium,95107.312,133373.684,9243.348927
Benin,5471.164,33533.09673,6982.5426
Burkina Faso,2629.239,43910.40239,14957.178
Bangladesh,67505.803,183300.5624,105141.6
Bulgaria,44708.064,67942.69563,11793.66449
The Bahamas,1969.179,4865.206767,226.62462
Bosnia and Herzegovina,22258.69,27108.4002,3140.172
Belarus,63222.747,109647.2388,16619.66131
Belize,476.71,1569.858503,228.49122
Bolivia,18793.375,621726.7268,23231.418
Brazil,470028.726,2989417.957,477076.7946
Brunei,9666.212,14828.96701,4539.3672
Bhutan,817.741,3296.963725,1769.6796
Botswana,4231.718,82110.27676,4448.169
Central African Republic,293.36,515134.0786,85676.838
Canada,517457.704,1027063.855,106846.7743
Switzerland,37773.767,54108.09751,4900.250754
Chile,80974.694,120687.8924,18380.502
China,10028573.94,12454710.61,1752290.14
Ivory Coast,9295.845,33502.16024,16265.634
Cameroon,6127.557,100922.1362,18516.366
Democratic Republic of the Congo,2401.885,802271.3028,75336.078
Republic of the Congo,2970.27,35743.91852,7156.1874
Colombia,79951.601,173411.7679,67978.92
Costa Rica,7766.706,12274.13409,2314.5126
Cuba,36156.62,52418.45565,8559.9216
Northern Cyprus,#N/A,#N/A,#N/A
Cyprus,6919.629,7431.193453,642.4094232
Czech Republic,101029.517,138957.4247,11901.93351
Germany,739861.254,951716.7111,55720.81848
Djibouti,517.047,2766.303815,634.0422
Denmark,36427.978,53703.22393,7602.607924
Dominican Republic,22123.011,33395.08443,6860.9586
Algeria,129987.816,176471.2268,48527.01
Ecuador,38140.467,52746.57269,15786.336
Egypt,217068.065,295499.7454,51976.752
Eritrea,660.06,4977.888033,2893.74
Spain,264779.402,348257.2922,37208.10558
Estonia,17623.602,23292.77921,2234.878225
Ethiopia,8562.445,185292.1681,64481.034
Finland,49134.133,69072.93872,8551.563226
Fiji,1059.763,2258.173057,714.6069
Falkland Islands,#N/A,#N/A,#N/A
France,333227.624,499146.6345,81178.5035
French Guiana,#N/A,#N/A,#N/A
Gabon,5104.464,34570.62658,3893.9316
United Kingdom,468572.927,585779.7833,58980.03122
Georgia,8441.434,14627.74929,5019.192092
Ghana,11877.413,107784.2944,21077.79
Guinea,2581.568,101348.9883,28653.738
Gambia,454.708,3529.23153,1039.278
Guinea Bissau,253.023,7604.734497,1420.6764
Equatorial Guinea,5115.465,6374.171054,2959.4892
Greece,80043.276,100571.1707,8254.870121
Greenland,568.385,#N/A,28.68291
Guatemala,11972.755,31515.45018,6877.3704
Guyana,1994.848,6140.687252,2124.0072
Honduras,8984.15,20467.16299,5844.243
Croatia,17993.969,30421.04936,4708.392205
Haiti,2313.877,8835.466908,4587.2154
Hungary,44583.386,62988.3998,7134.917042
Indonesia,637078.911,780550.764,223315.74
India,2018503.817,3002894.928,636395.8272
Ireland,35591.902,62433.01389,14330.02533
Iran,611758.276,#N/A,121298.1143
Iraq,152723.216,155529.505,24351.174
Iceland,1800.497,5514.853992,358.768321
Israel,75529.199,84044.43441,3415.6434
Italy,369468.585,482634.0003,35238.17876
Jamaica,7462.345,15474.32041,1316.4528
Jordan,24444.222,27198.59451,2114.7762
Japan,1230168.49,1478858.881,38956.54266
Kazakhstan,242971.753,366502.1973,71350.48646
Kenya,12515.471,54302.09561,28026.744
Kyrgyzstan,#N/A,#N/A,#N/A
Cambodia,5456.496,127399.5869,35914.914
South Korea,583966.083,668989.6514,32624.7
Kosovo,#N/A,#N/A,#N/A
Kuwait,102334.969,#N/A,12690.636
Laos,1697.821,161718.7374,15011.34
Lebanon,22632.724,#N/A,1149.7644
Liberia,1026.76,2833.942779,1585.6818
Libya,52683.789,82129.13395,18494.946
Sri Lanka,16032.124,30451.82631,11863.518
Lesotho,2405.552,3472.707536,1286.679
Lithuania,13831.924,29442.21235,4805.602314
Luxembourg,10663.636,12610.99762,1169.316186
Latvia,7062.642,13943.92172,3181.14673
Morocco,62731.369,80436.71521,12012.438
Moldova,4924.781,11350.63,3455.917259
Madagascar,2706.246,117932.5971,20069.724
Mexico,496324.783,663424.9544,116704.5833
Macedonia,8965.815,12992.24699,1395.6966
Mali,993.757,77437.93165,18041.556
Myanmar,11070.673,528416.2177,80636.508
Montenegro,2335.879,#N/A,#N/A
Mongolia,26226.384,#N/A,6257.1084
Mozambique,3120.617,380308.2925,9967.7664
Mauritania,2654.908,13343.16263,6081.5868
Malawi,1096.433,21632.13209,4629.3006
Malaysia,218707.214,279098.3768,34270.674
Namibia,3384.641,38049.27078,5097.4908
New Caledonia,3630.33,#N/A,214.72632
Niger,1866.503,11460.91583,6857.715
Nigeria,98502.954,301010.1259,89781.93
Nicaragua,4620.42,16323.04343,6491.8716
Netherlands,170310.148,195873.7639,19025.82239
Norway,49889.535,63536.73207,16408.94215
Nepal,5856.199,40762.71529,23982.24
New Zealand,34150.771,78130.97988,28657.655
Oman,59159.711,62201.5508,16857.642
Pakistan,163496.862,369734.5837,158336.64
Panama,10113.586,16248.77229,3377.781
Peru,55071.006,74806.95674,19321.452
Philippines,91205.624,167297.5497,57169.776
Papua New Guinea,5078.795,11087.45706,2142.867
Poland,299931.264,414606.8923,65071.20147
Puerto Rico,#N/A,3293.25488,2405.976
North Korea,49057.126,109894.965,18983.424
Portugal,46013.516,72524.21851,12976.01829
Paraguay,5284.147,50843.9542,16245.744
Qatar,94124.556,103155.1207,41124.054
Romania,81722.762,121762.2251,25707.73391
Russia,1830830.424,2803398.488,545818.581
Rwanda,737.067,6689.948897,2941.5984
Western Sahara,#N/A,#N/A,#N/A
Saudi Arabia,564842.678,#N/A,62903.44473
Sudan,14642.331,491982.2665,96531.474
South Sudan,1331.121,#N/A,#N/A
Senegal,7913.386,54185.37188,9927.6498
Solomon Islands,198.018,4591.464527,1449.1548
Sierra Leone,1030.427,11810.88702,3352.0362
El Salvador,6662.939,12577.78974,3032.1234
Somaliland,#N/A,#N/A,#N/A
Somalia,608.722,21916.32322,16205.862
Republic of Serbia,44062.672,#N/A,#N/A
Suriname,2258.872,2657.877624,709.38756
Slovakia,32764.645,46301.27397,4074.574065
Slovenia,14781.677,21074.74834,2821.744557
Sweden,47047.61,65767.78706,10304.22315
Swaziland,#N/A,#N/A,#N/A
Syria,44730.066,77118.71186,12782.844
Chad,612.389,109796.02,18363.876
Togo,2486.226,22931.85549,5342.6682
Thailand,296597.961,440411.679,106499.22
Tajikistan,2933.6,15364.57529,5407.57461
Turkmenistan,64872.897,92178.07491,22008.5695
East Timor,293.36,959.3474036,732.07236
Trinidad and Tobago,45419.462,61308.52535,14788.572
Tunisia,27003.788,39721.00885,7647.1848
Turkey,329560.624,445640.0784,78852.936
Taiwan,#N/A,#N/A,#N/A
United Republic of Tanzania,9545.201,235353.1169,27993.9
Uganda,4070.37,80725.08492,21160.818
Ukraine,295791.221,404900.3049,68060.93652
Uruguay,8694.457,34237.82952,19548.606
United States of America,5119436.361,6343840.508,499809.345
Uzbekistan,115814.861,177223.751,47333.36345
Venezuela,198766.068,281921.3686,58198.854
Vietnam,142220.928,310664.0693,113563.74
Vanuatu,113.677,446.2205969,254.15952
West Bank,2200.2,#N/A,#N/A
Yemen,18668.697,40924.62769,#N/A
South Africa,468770.945,#N/A,63155.98842
Zambia,3667,320254.2183,6551.3784
Zimbabwe,7792.375,72057.80332,8588.91